Date,Forecast_Close
2025-11-24,111801.97850544062
2025-11-25,114217.8404473637
2025-11-26,113756.10805018904
2025-11-27,112501.50602793109
2025-11-28,109653.5646559927
2025-11-29,108206.60574890567
2025-11-30,109328.58394346194
2025-12-01,109885.20408641179
2025-12-02,110167.60664653683
2025-12-03,106138.02172296224
2025-12-04,101773.86769877688
2025-12-05,103661.224383832
2025-12-06,101323.68215149685
2025-12-07,103142.12310588022
2025-12-08,102192.65681028058
2025-12-09,104478.07215189331
2025-12-10,105447.72210698426
2025-12-11,102583.38164878577
2025-12-12,101205.2648178812
2025-12-13,99063.06565942612
2025-12-14,94238.1433869667
2025-12-15,95231.5847310976
2025-12-16,94205.2351897487
2025-12-17,92427.49738776185
2025-12-18,93471.66501690501
2025-12-19,91847.27812120599
2025-12-20,87312.45844138598
2025-12-21,85860.65260050086
2025-12-22,85566.60495237066
2025-12-23,89000.76247153828
